S.no.,Date,Open,High,Low,Close,neg,pos
84,2009-09-10,9546.54,9633,9508.22,9627.48,0.6733,0.3267
85,2009-09-11,9625.44,9649.85,9571.56,9605.41,0.6632,0.3368
86,2009-09-12,9611.76,9640.48,9553.76,9616.1,0.639,0.361
87,2009-09-13,9604.92,9635.8,9544.86,9621.45,0.6384,0.3616
88,2009-09-14,9598.08,9631.11,9535.96,9626.8,0.6629,0.3371
89,2009-09-15,9626.42,9713.71,9580.93,9683.41,0.6637,0.3363
90,2009-09-16,9683.71,9799.72,9679.18,9791.71,0.6618,0.3382
91,2009-09-17,9789.82,9854.58,9749.46,9783.92,0.6593,0.3407
92,2009-09-18,9784.75,9847.71,9784.68,9820.2,0.6559,0.3441
93,2009-09-19,9801.68,9833.2,9755.28,9799.53,0.6622,0.3378
94,2009-09-20,9810.15,9825.94,9740.58,9789.19,0.6637,0.3363
95,2009-09-21,9818.61,9818.69,9725.88,9778.86,0.6846,0.3154
96,2009-09-22,9779.61,9843.4,9771.91,9829.87,0.6574,0.3426
97,2009-09-23,9830.63,9917.99,9740.84,9748.55,0.6752,0.3248
98,2009-09-24,9749.99,9805.39,9666.03,9707.44,0.6683,0.3317
99,2009-09-25,9706.68,9735.93,9641.01,9665.19,0.6699,0.3301
100,2009-09-26,9684.95,9779.8,9652.12,9727.28,0.6357,0.3643
101,2009-09-27,9674.09,9801.74,9657.67,9758.32,0.666,0.334
102,2009-09-28,9663.23,9823.67,9663.23,9789.36,0.6541,0.3459
103,2009-09-29,9789.74,9834.48,9739.11,9742.2,0.6659,0.3341
104,2009-09-30,9741.83,9776.82,9608.59,9712.28,0.6695,0.3305
105,2009-10-01,9711.6,9711.67,9500.37,9509.28,0.675,0.325
106,2009-10-02,9507.62,9524.78,9430.08,9487.67,0.675,0.325
107,2009-10-03,9498.17,9574.92,9455.58,9543.71,0.6555,0.3445
108,2009-10-04,9493.45,9599.99,9468.33,9571.73,0.6624,0.3376
109,2009-10-05,9488.73,9625.06,9481.09,9599.75,0.6641,0.3359
110,2009-10-06,9601.26,9774.32,9601.26,9731.25,0.6675,0.3325
111,2009-10-07,9725.69,9740.32,9675.62,9725.58,0.6883,0.3117
112,2009-10-08,9728.22,9836.67,9728.07,9786.87,0.6881,0.3119
113,2009-10-09,9786.04,9865.01,9764.88,9864.94,0.6809,0.3191
114,2009-10-10,9825.64,9898.42,9807.13,9875.37,0.6522,0.3478
115,2009-10-11,9845.44,9915.12,9828.25,9880.58,0.6896,0.3104
116,2009-10-12,9865.24,9931.82,9849.37,9885.8,0.6794,0.3206
117,2009-10-13,9883.98,9895.09,9815.06,9871.06,0.6681,0.3319
118,2009-10-14,9873.55,10027.73,9873.48,10015.86,0.6981,0.3019
119,2009-10-15,10014.88,10062.94,9977.47,10062.94,0.6901,0.3099
120,2009-10-16,10061.36,10061.66,9939.91,9995.91,0.6763,0.3237
121,2009-10-17,10029.01,10089.81,9967.53,10044.05,0.6682,0.3318
122,2009-10-18,10012.84,10103.88,9981.34,10068.12,0.6851,0.3149
123,2009-10-19,9996.67,10117.96,9995.15,10092.19,0.6796,0.3204
124,2009-10-20,10092.42,10098.39,9992.81,10041.48,0.679,0.321
125,2009-10-21,10038.84,10119.47,9943.76,9949.36,0.6673,0.3327
126,2009-10-22,9946.18,10105.19,9916.78,10081.31,0.6712,0.3288
127,2009-10-23,10099.9,10109.57,9932.5,9972.18,0.6681,0.3319
128,2009-10-24,10036.11,10090.94,9890.98,9920.07,0.6506,0.3494
129,2009-10-25,10004.22,10081.63,9870.22,9894.01,0.672,0.328
130,2009-10-26,9972.33,10072.32,9849.45,9867.96,0.6875,0.3125
